"","month","presidente","mandato","Data","otimo","regular","ruim","n_sabe","desemprego","year","icc","varejo","usd_brl","div_gov","ibc","ipca","pib","sal_min","selic","ibovespa"
"1",2003-04-01,"Luiz Inácio Lula da Silva",1,2003-04-01,43,40,10,7,11.2,2003,107.66,47.17676,2.889,53.36,100.98,16.77,1564349.5,240,26.32,11592
"2",2003-08-01,"Luiz Inácio Lula da Silva",1,2003-08-22,45,42,10,3,13,2003,109.37,48.07981,2.9657,54.6,99.79,15.07,1629693.3,240,23.5,13130
"3",2003-10-01,"Luiz Inácio Lula da Silva",1,2003-10-29,42,44,11,3,12.9,2003,104.72,48.74898,2.8554,51.37,101.91,13.98,1680138.8,240,19.54,16579
"4",2003-12-01,"Luiz Inácio Lula da Silva",1,2003-12-15,42,41,15,2,10.9,2003,115.33,49.38891,2.8884,52.46,101.75,9.3,1717950.4,240,16.91,20521
"5",2004-03-01,"Luiz Inácio Lula da Silva",1,2004-03-01,38,43,17,2,12.8,2004,113.29,51.28354,2.9078,51.75,105.82,5.89,1765492.2,240,16.19,22499
"6",2004-12-01,"Luiz Inácio Lula da Silva",1,2004-12-17,45,40,13,1,9.6,2004,140.41,54.5936,2.6536,49.09,108.89,7.6,1957751.2,260,17.5,25235
"7",2005-06-01,"Luiz Inácio Lula da Silva",1,2005-06-16,36,44,19,1,9.4,2005,132.74,55.12624,2.3496,46.48,110.36,7.27,2066440.5,300,19.75,25949
"8",2005-06-01,"Luiz Inácio Lula da Silva",1,2005-06-01,35,45,18,1,10.2,2005,132.74,55.12624,2.3496,46.48,110.36,7.27,2066440.5,300,19.75,25949
"9",2005-07-01,"Luiz Inácio Lula da Silva",1,2005-07-21,35,40,23,1,9.4,2005,133.21,55.80537,2.3897,46.65,110.43,6.57,2079897.1,300,19.72,25311
"10",2005-08-01,"Luiz Inácio Lula da Silva",1,2005-08-21,28,42,28,2,9.4,2005,124.89,55.42257,2.3629,46.51,111.21,6.02,2098542.5,300,19.75,26298
"11",2005-08-01,"Luiz Inácio Lula da Silva",1,2005-08-10,31,41,26,1,9.4,2005,124.89,55.42257,2.3629,46.51,111.21,6.02,2098542.5,300,19.75,26298
"12",2005-12-01,"Luiz Inácio Lula da Silva",1,2005-12-14,28,41,29,1,8.3,2005,130.16,56.80555,2.3399,46.54,112.74,5.69,2170584.5,300,18.24,32617
"13",2006-02-01,"Luiz Inácio Lula da Silva",1,2006-02-02,36,39,23,1,10.1,2006,138.03,56.71987,2.1347,46.38,113.75,5.51,2207671.2,300,17.28,38485
"14",2006-02-01,"Luiz Inácio Lula da Silva",1,2006-02-21,37,39,22,1,10.1,2006,138.03,56.71987,2.1347,46.38,113.75,5.51,2207671.2,300,17.28,38485
"15",2006-03-01,"Luiz Inácio Lula da Silva",1,2006-03-17,38,38,23,1,10.4,2006,137.75,56.54285,2.1716,46.38,113.47,5.32,2225144.6,300,16.74,39178
"16",2006-05-01,"Luiz Inácio Lula da Silva",1,2006-05-24,39,37,22,1,10.2,2006,138.2,57.55775,2.2997,46.21,115.69,4.23,2256419.1,350,15.7,NA
"17",2006-08-01,"Luiz Inácio Lula da Silva",1,2006-08-22,52,31,16,1,10.6,2006,128.24,58.82282,2.138,45.34,116.57,3.84,2315471.6,350,14.66,36839
"18",2006-08-01,"Luiz Inácio Lula da Silva",1,2006-08-08,45,36,18,1,10.6,2006,128.24,58.82282,2.138,45.34,116.57,3.84,2315471.6,350,14.66,36839
"19",2006-08-01,"Luiz Inácio Lula da Silva",1,2006-08-29,48,36,16,1,10.6,2006,128.24,58.82282,2.138,45.34,116.57,3.84,2315471.6,350,14.66,36839
"20",2006-09-01,"Luiz Inácio Lula da Silva",1,2006-09-05,48,33,18,1,10,2006,131.36,59.83378,2.1734,45.44,116.7,3.7,2336552.6,350,14.17,37329
"21",2006-09-01,"Luiz Inácio Lula da Silva",1,2006-09-19,48,34,18,1,10,2006,131.36,59.83378,2.1734,45.44,116.7,3.7,2336552.6,350,14.17,37329
"22",2006-09-01,"Luiz Inácio Lula da Silva",1,2006-09-27,47,34,17,1,10,2006,131.36,59.83378,2.1734,45.44,116.7,3.7,2336552.6,350,14.17,37329
"23",2006-09-01,"Luiz Inácio Lula da Silva",1,2006-09-12,46,35,18,1,10,2006,131.36,59.83378,2.1734,45.44,116.7,3.7,2336552.6,350,14.17,37329
"24",2006-09-01,"Luiz Inácio Lula da Silva",1,2006-09-22,46,34,18,1,10,2006,131.36,59.83378,2.1734,45.44,116.7,3.7,2336552.6,350,14.17,37329
"25",2006-12-01,"Luiz Inácio Lula da Silva",1,2006-12-13,52,34,14,1,8.4,2006,127.5,60.85375,2.1372,45.29,120.49,3.14,2409449.9,350,13.19,41327
"26",2007-03-01,"Luiz Inácio Lula da Silva",2,2007-03-20,48,37,14,1,10.1,2007,127.87,62.45087,2.0496,44.76,119.46,2.96,2486602.5,350,12.74,43517
"27",2007-08-01,"Luiz Inácio Lula da Silva",2,2007-08-02,48,36,15,1,9.5,2007,130.3,64.52727,1.9612,42.77,124.15,4.18,2627804.4,380,11.43,54234
"28",2007-11-01,"Luiz Inácio Lula da Silva",2,2007-11-29,50,35,14,1,8.2,2007,136.25,66.75863,1.7829,43.04,126.25,4.19,2698213,380,11.18,64050
"29",2008-09-01,"Luiz Inácio Lula da Silva",2,2008-09-11,64,28,8,1,7.6,2008,141.28,71.60018,1.9135,40.06,130.58,6.25,3020522.3,415,13.39,55162
"30",2009-12-01,"Luiz Inácio Lula da Silva",2,2009-12-18,72,21,6,1,6.8,2009,156.63,77.15059,1.7404,41.35,132.01,4.31,3333039.4,465,8.65,68546
"31",2010-02-01,"Luiz Inácio Lula da Silva",2,2010-02-25,73,20,5,1,7.4,2010,161.43,80.42781,1.8102,40.45,135.3,4.83,3413499.6,510,8.65,66572
"32",2010-03-01,"Luiz Inácio Lula da Silva",2,2010-03-26,76,20,4,1,7.6,2010,159.92,81.64176,1.7802,40.41,136.5,5.17,3463309.7,510,8.65,67228
"33",2010-04-01,"Luiz Inácio Lula da Silva",2,2010-04-16,73,22,5,1,7.3,2010,154.66,78.99628,1.7298,40.01,137.24,5.26,3511531.8,510,8.72,71136
